periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2022-03-01;Região de Saúde Norte;513587;397199;88179;28209;0;1600;26334;205683;31664;1;232017;1
2022-04-01;Região de Saúde Alentejo;112109;93808;16341;1960;0;242;2478;20299;2093;0;22777;0
2022-04-01;Região de Saúde Algarve;109771;81307;22154;6310;0;292;2521;23808;2095;0;26329;0
2022-04-01;Região de Saúde Centro;345987;248035;77482;20414;56;988;12285;101825;11656;1;114110;0
2022-04-01;Região de Saúde LVT;703409;450345;199101;51899;2064;1497;21765;189685;21874;1;211450;1
2022-04-01;Região de Saúde Norte;695479;536934;120879;37666;0;1543;24805;192565;27648;1;217370;1
2022-05-01;Região de Saúde Alentejo;145813;122206;21157;2450;0;255;2764;22528;2325;0;25292;0
2022-05-01;Região de Saúde Algarve;144302;106631;29599;8072;0;267;2602;26355;2267;0;28957;0
2022-05-01;Região de Saúde Centro;446360;319092;101330;25882;56;957;12898;105636;13242;1;118534;1
2022-05-01;Região de Saúde LVT;908296;579823;259407;66418;2648;1490;23359;204487;24354;1;227846;1
2022-05-01;Região de Saúde Norte;900443;694163;158241;48039;0;1650;26017;207347;30179;1;233364;1
2022-06-01;Região de Saúde Alentejo;174230;146521;24748;2961;0;248;2528;21302;2253;0;23830;0
2022-06-01;Região de Saúde Algarve;175820;130934;35145;9741;0;247;2477;23605;2174;0;26082;0
2022-06-01;Região de Saúde Centro;534718;384106;119351;31205;56;912;12169;104553;12337;1;116722;0
2022-06-01;Região de Saúde LVT;1086758;699868;303876;79770;3244;1537;20330;186346;21390;1;206676;1
2022-06-01;Região de Saúde Norte;1077202;833838;185549;57815;0;1605;24429;198745;27897;1;223174;1
2022-07-01;Região de Saúde Alentejo;203160;171762;27937;3461;0;231;2663;20541;2106;0;23204;0
2022-07-01;Região de Saúde Algarve;211620;158654;41357;11609;0;311;2688;26801;2220;0;29489;0
2022-07-01;Região de Saúde Centro;625838;451648;137043;37026;121;923;12431;102888;12150;1;115319;0
2022-07-01;Região de Saúde LVT;1261790;818056;346398;93491;3845;1512;21401;190892;21907;1;212293;1
2022-07-01;Região de Saúde Norte;1261837;980317;213556;67964;0;1555;25049;196116;28284;1;221165;1
2022-08-01;Região de Saúde Alentejo;232398;197779;30622;3997;0;206;2648;20696;2087;0;23344;0
2022-08-01;Região de Saúde Algarve;247962;187526;46880;13556;0;260;2728;24783;2201;0;27511;0
2022-08-01;Região de Saúde Centro;719425;522073;153686;43318;348;884;12245;103434;10486;1;115679;0
2022-08-01;Região de Saúde LVT;1430448;937058;381315;107649;4426;1375;21481;192417;21992;1;213898;1
2022-08-01;Região de Saúde Norte;1445426;1129232;237280;78914;0;1524;24194;201320;25376;1;225514;1
2022-09-01;Região de Saúde Alentejo;259456;221492;33447;4517;0;202;2626;20758;2230;0;23384;0
2022-09-01;Região de Saúde Algarve;278891;211475;52079;15337;0;205;2634;24216;2228;0;26850;0
2022-09-01;Região de Saúde Centro;805280;585901;169846;49154;379;793;12508;102490;12826;0;114998;0
2022-09-01;Região de Saúde LVT;1603677;1052540;424217;121912;5008;1335;21483;188573;24077;1;210056;1
2022-09-01;Região de Saúde Norte;1618560;1266330;263138;89092;0;1416;25788;202519;30631;1;228307;1
2022-10-01;Região de Saúde Alentejo;292063;249038;37998;5027;0;205;2572;20472;2430;0;23044;0
2022-10-01;Região de Saúde Algarve;312287;235495;59759;17033;0;231;2544;22863;2209;0;25407;0
2022-10-01;Região de Saúde Centro;904221;653223;195830;54757;411;853;12488;101557;13164;0;114045;0
2022-10-01;Região de Saúde LVT;1808883;1174449;493239;135718;5477;1442;22154;202459;24001;1;224613;1
2022-10-01;Região de Saúde Norte;1816916;1412379;305050;99487;0;1505;25665;197114;29906;1;222779;1
2022-11-01;Região de Saúde Alentejo;325845;276939;43391;5515;0;224;2672;21440;2443;0;24112;0
2022-11-01;Região de Saúde Algarve;344339;258294;67360;18685;0;251;2606;23615;2168;0;26221;0
2022-11-01;Região de Saúde Centro;1007020;719100;227221;60259;440;875;12815;105542;13437;1;118357;1
2022-11-01;Região de Saúde LVT;2019399;1293673;570459;149241;6026;1491;22079;197283;23985;1;219362;1
2022-11-01;Região de Saúde Norte;2016530;1554864;352455;109211;0;1572;25804;210457;30000;1;236261;1
2022-12-01;Região de Saúde Alentejo;358557;304554;47993;6010;0;231;2641;21243;1949;0;23884;0
2022-12-01;Região de Saúde Algarve;373928;280780;73139;20009;0;269;2673;24698;1788;0;27371;0
2022-12-01;Região de Saúde Centro;1101314;784909;250188;65751;466;1037;13101;109394;11208;1;122495;1
2022-12-01;Região de Saúde LVT;2193380;1400026;625102;161761;6491;1759;22612;204993;21789;1;227605;1
2022-12-01;Região de Saúde Norte;2205082;1697075;389136;118871;0;1821;26999;220866;27231;1;247865;1
2023-01-01;Região de Saúde Alentejo;30213;26057;3688;468;0;235;2697;21663;2656;0;24360;0
2023-01-01;Região de Saúde Algarve;29041;22013;5399;1629;0;285;2887;25384;2380;0;28271;0
